family	code	name	diagnostic
record	33	semProgram	-
record	34	semFunction	-
record	35	semValue	-
record	36	semBlock	-
record	37	semInstruction	-
record	38	semOperand	-
record	39	semLabelContract	-
record	40	semCapabilityType	-
record	41	semPolicyClass	-
record	42	semRefinementFact	-
record	43	semRuntimeGuard	-
instruction	0	scalar	-
instruction	1	aggregate	-
instruction	2	project	-
instruction	3	branch	-
instruction	4	jump	-
instruction	5	loop	-
instruction	6	call	-
instruction	7	closure	-
instruction	8	actorBoundary	-
instruction	9	stateRead	-
instruction	10	stateWrite	-
instruction	11	slotNew	-
instruction	12	slotPut	-
instruction	13	slotTake	-
instruction	14	effect	-
instruction	15	ffi	-
instruction	16	allocation	-
instruction	17	address	-
instruction	18	capMint	-
instruction	19	capRestrict	-
instruction	20	capSplit	-
instruction	21	capDraw	-
instruction	22	capExercise	-
instruction	23	release	-
instruction	24	releaseCT	-
instruction	25	ctEq	-
instruction	26	ctSelect	-
instruction	27	ctLt	-
instruction	28	output	-
instruction	29	trap	-
instruction	30	halt	-
instruction	31	range	-
instruction	32	dispatch	-
instruction	33	index	-
instruction	34	divRem	-
instruction	35	stringCompare	-
instruction	36	abortiveEffect	-
policy	0	branch	T020
policy	1	loop	T021
policy	2	range	T022
policy	3	dispatch	T023
policy	4	index	T024
policy	5	address	T025
policy	6	divRem	T026
policy	7	ffi	T027
policy	8	actorBoundary	T028
policy	9	allocation	T029
policy	10	ctSource	T030
policy	11	release	T031
policy	12	releaseCT	T032
policy	13	stringCompare	T033
policy	14	fixedCT	-
policy	15	quantity	T027
